id,name,area,country,major,men,women,ine,comunidad,comarca
0,Ababuj,54.3,Spain,"LOPEZ BENDICTO, JOSE CARLOS",49,36,44001,Aragón,Comunidad de Teruel
1,Abanto,63.8,Spain,"SEBASTIAN PEIRO, Mª ANGELES",86,72,50001,Aragón,Comunidad de Calatayud
2,Abejuela,86.7,Spain,"CERVERA BARTUAL, VICENTE",32,27,44002,Aragón,Gúdar-Javalambre
3,Abiego,38.2,Spain,"MONCLUS PUENTE, FELIPE",143,141,22001,Aragón,Somontano de Barbastro
4,Abizanda,44.8,Spain,"BUESA ABADIAS, JOSÉ",62,70,22002,Aragón,Sobrarbe
5,Acered,30.4,Spain,"SICILIA GARCIA, CONRADO",129,116,50002,Aragón,Campo de Daroca
6,Adahuesca,52.5,Spain,"FRANCO GISTAU, FRANCISCO",79,76,22003,Aragón,Somontano de Barbastro
7,Aguarón,36.6,Spain,"CUCALON BERNAL, LUCIO",376,375,50004,Aragón,Campo de Cariñena
8,Aguatón,21.6,Spain,JUAN RAMON MIGUEL CARDO MUÑOZ,11,15,44003,Aragón,Comunidad de Teruel
9,Aguaviva,42.2,Spain,RAFAEL CERVERA MARGELI,338,337,44004,Aragón,Bajo Aragón
10,Aguilar del Alfambra,39.0,Spain,VICENTE SAN FRANCISCO PARICIO,43,39,44005,Aragón,Comunidad de Teruel
11,Aguilón,59.5,Spain,"HERRANDO OLIVAN, ANDRES",143,150,50005,Aragón,Campo de Cariñena
12,Agón,18.5,Spain,"YOLDI MARTINEZ, JUAN CARLOS",105,92,50003,Aragón,Campo de Borja
13,Agüero,94.2,Spain,"CASTILLO PEREZ, ANTONIO",91,83,22004,Aragón,Hoya de Huesca/Plana de Uesca
14,Ainzón,40.5,Spain,FRANCISCO JAVIER CORELLA MERLE,635,576,50006,Aragón,Campo de Borja
15,Alacón,47.5,Spain,"ALQUEZAR ALQUEZAR, ISMAEL DOMINGO",212,210,44006,Aragón,Andorra-Sierra de Arcos
16,Aladrén,21.1,Spain,"TORRES GARCIA, MIGUEL",44,32,50007,Aragón,Campo de Cariñena
17,Alagón,24.2,Spain,"BECERRIL GUTIERREZ, JOSE MARIA",2973,2934,50008,Aragón,Ribera Alta del Ebro
18,Alarba,19.0,Spain,"MORALES SOLER, FRANCISCO",82,63,50009,Aragón,Comunidad de Calatayud
19,Alba,69.5,Spain,"HERRERO PALOMAR, JOSÉ",127,123,44007,Aragón,Comunidad de Teruel
20,Albalate de Cinca,44.2,Spain,"CASTILLON SERRATE, JOSE ANTONIO",725,561,22007,Aragón,Cinca Medio
21,Albalate del Arzobispo,205.7,Spain,"DEL RIO MACIPE, ANTONIO",1107,1094,44008,Aragón,Bajo Martín
22,Albalatillo,9.1,Spain,"CASAÑA LUNA,JOSÉ ANDRÉS",122,121,22008,Aragón,Los Monegros
23,Albarracín,452.7,Spain,"MARTI SORIANO, FRANCISCO JESUS",533,512,44009,Aragón,Sierra de Albarracín
24,Albelda,51.9,Spain,"ROCA LLOP, MARIA ANGELES",460,451,22009,Aragón,La Litera/La Llitera
25,Albentosa,68.0,Spain,"SALVADOR CORELLA, YOLANDA",167,144,44010,Aragón,Gúdar-Javalambre
26,Alberite de San Juan,11.2,Spain,"GIMENO LETE, ROBERTO",59,42,50010,Aragón,Campo de Borja
27,Albero Alto,19.3,Spain,"FERRANDO ORUS, RAMON LORENZO",59,49,22011,Aragón,Hoya de Huesca/Plana de Uesca
28,Albero Bajo,22.2,Spain,"LOPEZ CIRIA, JAVIER MIGUEL",54,43,22012,Aragón,Los Monegros
29,Alberuela de Tubo,20.8,Spain,"PONS SERENA, ROSA MARIA",185,176,22013,Aragón,Los Monegros
30,Albeta,2.7,Spain,"TABUENCA LOPEZ, PEDRO FELICIANO",67,72,50011,Aragón,Campo de Borja
31,Alborge,4.8,Spain,"LORDA CATALAN, JOSE ANTONIO",72,61,50012,Aragón,Ribera Baja del Ebro
32,Alcaine,57.4,Spain,"GIL GIL, CIPRIANO",41,28,44011,Aragón,Cuencas Mineras
33,Alcalá de Ebro,9.9,Spain,"ACHON LOZANO, JOSE MIGUEL",138,154,50013,Aragón,Ribera Alta del Ebro
34,Alcalá de Gurrea,71.4,Spain,"MINGUIJON PEREZ, MERCEDES",140,144,22014,Aragón,Hoya de Huesca/Plana de Uesca
35,Alcalá de Moncayo,13.8,Spain,"MELERO MELERO, MACARIO",72,63,50014,Aragón,Tarazona y el Moncayo
36,Alcalá de la Selva,105.0,Spain,JOSE LUIS TENA MARIN,281,246,44012,Aragón,Gúdar-Javalambre
37,Alcalá del Obispo,47.8,Spain,FERNANDO VIÑUALES SATUE,184,171,22015,Aragón,Hoya de Huesca/Plana de Uesca
38,Alcampell,58.0,Spain,"CHAUVELL LARREGOLA, JOSEP ANTON",427,441,22016,Aragón,La Litera/La Llitera
39,Alcañiz,472.1,Spain,JUAN CARLOS GRACIA SUSO,7212,7171,44013,Aragón,Bajo Aragón
40,Alcolea de Cinca,83.2,Spain,"LANASPA OLLES, MONICA",651,579,22017,Aragón,Cinca Medio
41,Alconchel de Ariza,34.9,Spain,"SAEZ BENDICHO, PEDRO",75,60,50015,Aragón,Comunidad de Calatayud
42,Alcorisa,121.2,Spain,JULIA VICENTE LAPUENTE,1725,1691,44014,Aragón,Bajo Aragón
43,Alcubierre,115.3,Spain,"AMADOR LACAMBRA, ALVARO ISIDRO",236,212,22018,Aragón,Los Monegros
44,Aldehuela de Liestos,38.0,Spain,"MUÑOZ MUÑOZ, ARCADIO",19,18,50016,Aragón,Campo de Daroca
45,Alerre,8.9,Spain,"SANTOLARIA ALASTRUE, FRANCISCO",110,110,22019,Aragón,Hoya de Huesca/Plana de Uesca
46,Alfajarín,137.6,Spain,"VERGE SALVADO, FRANCISCO",818,793,50017,Aragón,D.C. Zaragoza
47,Alfambra,122.4,Spain,FRANCISCO ABRIL GALVE,324,305,44016,Aragón,Comunidad de Teruel
48,Alfamén,102.0,Spain,"GIL ARNAL, ALEJANDRO JESUS",860,638,50018,Aragón,Campo de Cariñena
49,Alforque,10.6,Spain,"CATALAN GIMENEZ, ANTONIO",47,38,50019,Aragón,Ribera Baja del Ebro
50,Alfántega,8.8,Spain,"FUMANAL ESPIER, LUIS",54,53,22020,Aragón,Cinca Medio
51,Alhama de Aragón,31.1,Spain,"CASTEJON MOZOTA, JOSE Mª",576,574,50020,Aragón,Comunidad de Calatayud
52,Aliaga,196.8,Spain,"UCHE GIL, SERGIO",215,174,44017,Aragón,Cuencas Mineras
53,Allepuz,67.3,Spain,"VILLARROYA MOYA, JOAQUIN MANUEL",67,70,44021,Aragón,Maestrazgo
54,Alloza,81.6,Spain,MIGUEL ANGEL LORENZO ARANDA LAFOZ,349,354,44022,Aragón,Andorra-Sierra de Arcos
55,Allueva,18.7,Spain,"BLASCO PARACUELLOS, GREGORIO",10,4,44023,Aragón,Jiloca
56,Almochuel,32.0,Spain,"GASCON MOLINER, ANGEL",26,23,50021,Aragón,Campo de Belchite
57,Almohaja,25.6,Spain,"SIMON DOMINGUEZ, TOMAS",18,13,44018,Aragón,Comunidad de Teruel
58,Almolda (La),131.3,Spain,"OLONA BLASCO, MARIA ISABEL",330,323,50022,Aragón,Los Monegros
59,Almonacid de la Cuba,55.2,Spain,"JALLE RUPEREZ, GREGORIO",158,154,50023,Aragón,Campo de Belchite
60,Almonacid de la Sierra,54.1,Spain,"COMPES MARTINEZ, FRANCISCO",471,410,50024,Aragón,Valdejalón
61,Almudévar,201.5,Spain,"LABARTA ATAREZ, ANTONIO",1191,1114,22021,Aragón,Hoya de Huesca/Plana de Uesca
62,Almunia de Doña Godina (La),56.7,Spain,"HERRAIZ FRANCO, VICTORIANO",3325,3028,50025,Aragón,Valdejalón
63,Almunia de San Juan,35.7,Spain,"SOLANS TORRES, JOSE ANGEL",344,327,22022,Aragón,Cinca Medio
64,Almuniente,37.6,Spain,"MONESMA DELGADO, JOAQUIN",288,283,22023,Aragón,Los Monegros
65,Alobras,30.7,Spain,"SORIANO RODRIGUEZ, AVELINO",46,38,44019,Aragón,Comunidad de Teruel
66,Alpartir,27.1,Spain,"GIMENO HERNANDEZ, MARTA",315,285,50026,Aragón,Valdejalón
67,Alpeñés,28.6,Spain,"MARCO ARNAL, VICTOR",18,10,44020,Aragón,Comunidad de Teruel
68,Alquézar,32.4,Spain,"ALTEMIR LASCORZ, JOSE MARIANO",169,146,22024,Aragón,Somontano de Barbastro
69,Altorricón,32.4,Spain,"PLANA MARSAL, SALVADOR",779,685,22025,Aragón,La Litera/La Llitera
70,Ambel,61.5,Spain,"MONTORIO SANJUAN, OSCAR",150,186,50027,Aragón,Campo de Borja
71,Anadón,24.6,Spain,"GARCIA ROCHE, LUIS",12,7,44024,Aragón,Cuencas Mineras
72,Andorra,141.4,Spain,SOFÍA CIÉRCOLES BIELSA,4088,3781,44025,Aragón,Andorra-Sierra de Arcos
73,Anento,21.5,Spain,"CARTIEL MONTALVO, ENRIQUE",134,79,50028,Aragón,Campo de Daroca
74,Angüés,56.5,Spain,"MORENO GALLARDO, ANTONIO",234,193,22027,Aragón,Hoya de Huesca/Plana de Uesca
75,Aniñón,52.5,Spain,"SEBASTIAN ROY, JOSE MANUEL",457,391,50029,Aragón,Comunidad de Calatayud
76,Ansó,223.1,Spain,"IPAS BARBA, FELIX",257,272,22028,Aragón,La Jacetania
77,Antillón,22.4,Spain,"FERRANDO FERRANDO, JOSE LUIS",79,77,22029,Aragón,Hoya de Huesca/Plana de Uesca
78,Aragüés del Puerto,64.4,Spain,"IPAS ARIGUEL, MARIA TERESA",82,60,22032,Aragón,La Jacetania
79,Aranda de Moncayo,91.2,Spain,"CABRERA RUIZ, Mª ROSARIO",124,104,50031,Aragón,Aranda
80,Arcos de las Salinas,113.0,Spain,"ALVIR MARTINEZ, JOSE LUIS",66,71,44026,Aragón,Gúdar-Javalambre
81,Ardisa,27.3,Spain,"PALACIO MARCO, ANGELES",44,36,50033,Aragón,Cinco Villas
82,Arens de Lledó,34.3,Spain,"QUEROL TALLADA, MARÍA TERESA",106,122,44027,Aragón,Matarraña/Matarranya
83,Argavieso,9.7,Spain,"SOLER NAVARRO, MONICA",71,60,22036,Aragón,Hoya de Huesca/Plana de Uesca
84,Argente,69.2,Spain,"GIMENO TOLOSA, ANTONIO",136,127,44028,Aragón,Comunidad de Teruel
85,Arguis,62.8,Spain,"LANASPA RODRIGUEZ, SERGIO",33,28,22037,Aragón,Hoya de Huesca/Plana de Uesca
86,Ariza,103.1,Spain,"TIRADO BAYANO, JOSÉ CARLOS",696,641,50034,Aragón,Comunidad de Calatayud
87,Ariño,81.9,Spain,"NOE SERRANO, JOAQUIN",465,432,44029,Aragón,Andorra-Sierra de Arcos
88,Artieda,13.6,Spain,"JIMENEZ PUENTE, JAVIER",62,42,50035,Aragón,La Jacetania
89,Arándiga,50.2,Spain,"DOMINGO PEREZ, CONRADO",234,225,50032,Aragón,Comunidad de Calatayud
90,Arén,119.3,Spain,"GRACIA FERRER, MIGUEL",194,176,22035,Aragón,La Ribagorza
91,Asín,18.5,Spain,"GARCES BURGUETE, ROGELIO",52,58,50036,Aragón,Cinco Villas
92,Atea,34.7,Spain,"HERRERO LORENTE, SAUL PEDRO",109,82,50037,Aragón,Campo de Daroca
93,Ateca,84.7,Spain,"DUCE BORAU, FERNANDO JOSÉ",1010,1019,50038,Aragón,Comunidad de Calatayud
94,Ayerbe,63.9,Spain,"MARCO VINUE, CARLOS JESUS",549,532,22039,Aragón,Hoya de Huesca/Plana de Uesca
95,Azaila,81.4,Spain,ADOLFO TESAN BIELSA,98,69,44031,Aragón,Bajo Martín
96,Azanuy-Alins,51.2,Spain,"BLANC MARQUES, ENRIQUE JOSE",80,93,22040,Aragón,La Litera/La Llitera
97,Azara,14.5,Spain,"LARROYA DOMPER, JERONIMO SANTOS",104,103,22041,Aragón,Somontano de Barbastro
98,Azlor,15.9,Spain,"DE PABLO MELERO, MARIA ISABEL",77,80,22042,Aragón,Somontano de Barbastro
99,Azuara,165.8,Spain,"ALCONCHEL FLETA, JOAQUIN IGNACIO",348,304,50039,Aragón,Campo de Belchite
100,Aínsa-Sobrarbe,284.8,Spain,"CHELIZ PEREZ, JOSE MIGUEL",912,818,22907,Aragón,Sobrarbe
101,Aísa,81.0,Spain,"GALINDO GIL, JOSE LUIS",227,184,22006,Aragón,La Jacetania
102,Añón de Moncayo,64.2,Spain,"ABADÍA PÉREZ, PEDRO RAMIRO",163,121,50030,Aragón,Tarazona y el Moncayo
103,Badules,20.1,Spain,"ESPINOSA RAMIRO, ALEJANDRO",58,52,50040,Aragón,Campo de Daroca
104,Baells,39.8,Spain,"SOLANA SALAS, ANTONIO",77,58,22043,Aragón,La Litera/La Llitera
105,Bagüés,30.7,Spain,"CASTILLO ALASTUEY, ASCENSION",25,20,50041,Aragón,Cinco Villas
106,Bailo,164.4,Spain,"CASTAN PIEDRAFITA, PABLO LORENZO",159,109,22044,Aragón,La Jacetania
107,Balconchán,19.4,Spain,"SAZ BELLO, JESUS",10,13,50042,Aragón,Campo de Daroca
108,Baldellou,30.4,Spain,JESUS ENRIQUE LUMBIARRES PUSO,74,58,22045,Aragón,La Litera/La Llitera
109,Ballobar,127.7,Spain,"PASCUAL ISABAL, MERCEDES REYES",502,495,22046,Aragón,Bajo Cinca/Baix Cinca
110,Banastás,4.7,Spain,"GRACIA BANZO, ANGEL",110,105,22047,Aragón,Hoya de Huesca/Plana de Uesca
111,Barbastro,107.6,Spain,"COSCULLUELA BERGUA, ANTONIO JOSE",7576,7914,22048,Aragón,Somontano de Barbastro
112,Barbués,19.6,Spain,"BAILO CASTRO, JOSE SINESIO",60,52,22049,Aragón,Los Monegros
113,Barbuñales,18.7,Spain,"COLUNGO HERRAN, MANUEL",56,58,22050,Aragón,Somontano de Barbastro
114,Bardallur,27.3,Spain,"DOMINGUEZ SANTOS, JOSE MIGUEL",132,146,50044,Aragón,Valdejalón
115,Barrachina,24.9,Spain,"ZABAL CORBATON, ANTONIO AGUSTIN",83,73,44035,Aragón,Jiloca
116,Bañón,54.3,Spain,"SANCHO MARCO, JOSÉ ANGEL",92,75,44034,Aragón,Jiloca
117,Bea,23.4,Spain,"NUÑO PLANAS, VICTOR",20,16,44036,Aragón,Jiloca
118,Beceite,96.7,Spain,"MORAGREGA JULIAN, ALBERTO",314,294,44037,Aragón,Matarraña/Matarranya
119,Belchite,273.7,Spain,"ORTIZ ALVAREZ, MARIA ANGELES",809,761,50045,Aragón,Campo de Belchite
120,Bello,52.5,Spain,"BARRADO LIDON, JAIME",166,189,44039,Aragón,Jiloca
121,Belmonte de Gracián,43.7,Spain,"PEREZ CUBERO, JOSE CARLOS",144,118,50046,Aragón,Comunidad de Calatayud
122,Belmonte de San José,34.0,Spain,JOSE JAVIER DE MIGUEL MARTIN,79,66,44038,Aragón,Bajo Aragón
123,Belver de Cinca,82.6,Spain,"ALEGRE ESTARAN, JESUS",750,622,22052,Aragón,Bajo Cinca/Baix Cinca
124,Benabarre,157.1,Spain,"SANCHO GUARDIA, ALFREDO",582,530,22053,Aragón,La Ribagorza
125,Benasque,233.6,Spain,"GABAS ARIÑO, MARIA LUZ",979,853,22054,Aragón,La Ribagorza
126,Berbegal,49.0,Spain,"PUYUELO LOPEZ, MIGUEL ANGEL",235,228,22055,Aragón,Somontano de Barbastro
127,Berdejo,19.4,Spain,"ESCRIBANO RUBIO, FERNANDO",39,26,50047,Aragón,Comunidad de Calatayud
128,Berge,42.6,Spain,"MARTIN EJARQUE, DANIEL",123,121,44040,Aragón,Bajo Aragón
129,Berrueco,19.5,Spain,"BALLESTIN GIMENO, MARIA CARMEN",25,20,50048,Aragón,Campo de Daroca
130,Bezas,26.3,Spain,"ALONSO MARTINEZ, ALEJANDRO",43,31,44041,Aragón,Sierra de Albarracín
131,Biel,130.7,Spain,"LASHERAS MARCO, JOSE LUIS",120,93,50901,Aragón,Cinco Villas
132,Bielsa,202.4,Spain,"ESCALONA ESTEVEZ, ANTONIO",243,222,22057,Aragón,Sobrarbe
133,Bierge,145.0,Spain,"RUFAS FANLO, RAUL",138,110,22058,Aragón,Somontano de Barbastro
134,Biescas,189.1,Spain,"ESTAUN GARCIA, LUIS SEBASTIAN",701,611,22059,Aragón,Alto Gállego
135,Bijuesca,57.1,Spain,"MARIN RUBIO, ANGEL MILLAN",73,50,50050,Aragón,Comunidad de Calatayud
136,Binaced,78.5,Spain,MATILDE HERBERA IBARZ,925,779,22060,Aragón,Cinca Medio
137,Binéfar,25.1,Spain,"AQUILUE FRAGO, AGUSTIN",4422,4217,22061,Aragón,La Litera/La Llitera
138,Biota,128.8,Spain,"ABAD TORRERO, MARIANO",604,575,50051,Aragón,Cinco Villas
139,Bisaurri,62.9,Spain,EDUARDO GRACIA ARAZO,126,109,22062,Aragón,La Ribagorza
140,Biscarrués,30.2,Spain,"TORRALBA MARCUELLO, JOSE",123,107,22063,Aragón,Hoya de Huesca/Plana de Uesca
141,Bisimbre,11.2,Spain,"ROYO GABAS, PEDRO ANTONIO",53,69,50052,Aragón,Campo de Borja
142,Blancas,73.8,Spain,ALBERTO CRISTOBAL FERNANDEZ SANZ,103,75,44042,Aragón,Jiloca
143,Blecua y Torres,36.2,Spain,"ZAMORA BARUQUER, JOSE MARIA",107,83,22064,Aragón,Hoya de Huesca/Plana de Uesca
144,Blesa,80.4,Spain,"COLERA HERRANZ, MARIA ANGELES",85,54,44043,Aragón,Cuencas Mineras
145,Boltaña,139.5,Spain,"SALAMERO VILLACAMPA, JOSE MANUEL",429,409,22066,Aragón,Sobrarbe
146,Bonansa,37.3,Spain,MARCELINO IGLESIAS CUARTERO,52,45,22067,Aragón,La Ribagorza
147,Boquiñeni,18.9,Spain,"SANJUAN PEREZ, MIGUEL ANGEL",505,490,50053,Aragón,Ribera Alta del Ebro
148,Borau,41.7,Spain,DANIEL LÓPEZ PÉREZ,43,33,22068,Aragón,La Jacetania
149,Bordalba,41.6,Spain,"ESTERAS ESTERAS, ANTONIO",55,39,50054,Aragón,Comunidad de Calatayud
150,Bordón,30.0,Spain,ESTHER MEDINA PRATS,72,62,44044,Aragón,Maestrazgo
151,Borja,107.3,Spain,"ARILLA ANDIA, FRANCISCO MIGUEL",2137,2176,50055,Aragón,Campo de Borja
152,Botorrita,19.8,Spain,"ALIAGA PEREZ, JUAN ANTONIO",245,220,50056,Aragón,D.C. Zaragoza
153,Brea de Aragón,13.4,Spain,"GARCÍA ASENSIO, RAÚL",1026,973,50057,Aragón,Aranda
154,Bronchales,59.6,Spain,FRANCISCO NACHER DOBON,253,226,44045,Aragón,Sierra de Albarracín
155,Broto,128.0,Spain,"MURO GRACIA, MARIA DEL CARMEN",275,249,22069,Aragón,Sobrarbe
156,Bubierca,29.5,Spain,"BORQUE CUBERO, ANTONIO",48,45,50058,Aragón,Comunidad de Calatayud
157,Bueña,40.7,Spain,"IBAÑEZ GIMENO, SERGIO",46,41,44046,Aragón,Jiloca
158,Bujaraloz,120.9,Spain,"ROZAS FERRER, CARMELO JESUS",530,476,50059,Aragón,Los Monegros
159,Bulbuente,25.4,Spain,"SERRANO BOROBIA, JOSE MIGUEL",133,110,50060,Aragón,Campo de Borja
160,Burbáguena,39.0,Spain,JUAN PABLO FIDALGO FIDALGO,139,158,44047,Aragón,Jiloca
161,Bureta,11.9,Spain,"BOROBIA MARTINEZ, JESUS DOMINGO",161,149,50061,Aragón,Campo de Borja
162,Burgo de Ebro (El),24.9,Spain,"GIRON PEREZ, MIGUEL ANGEL",873,822,50062,Aragón,D.C. Zaragoza
163,Buste (El),7.6,Spain,"GIL BARCELÓ, JOAQUÍN PEDRO",50,51,50063,Aragón,Tarazona y el Moncayo
164,Bádenas,31.3,Spain,"SAN MIGUEL GURRIA, SAMUEL",11,6,44032,Aragón,Jiloca
165,Báguena,25.2,Spain,"SANZ SÁNCHEZ, JESÚS",226,215,44033,Aragón,Jiloca
166,Bárboles,15.7,Spain,"PARDOS SIERRA, MIGUEL ANGEL",175,152,50043,Aragón,Ribera Alta del Ebro
167,Bárcabo,87.9,Spain,"LALUEZA GIRAL, CARMEN",60,47,22051,Aragón,Sobrarbe
168,Cabañas de Ebro,8.5,Spain,"MEDRANO PALACIOS, NICOLAS",270,247,50064,Aragón,Ribera Alta del Ebro
169,Cabolafuente,39.2,Spain,"SOLER CUNCHILLOS, JULIAN",39,31,50065,Aragón,Comunidad de Calatayud
170,Cabra de Mora,34.3,Spain,"DE LA POZA MORENO, MANUEL",63,48,44048,Aragón,Gúdar-Javalambre
171,Cadrete,11.9,Spain,"CAMPILLOS VIÑAS, MARIA ANGELES",1026,890,50066,Aragón,D.C. Zaragoza
172,Calaceite,81.3,Spain,JOSE MARIA SALSENCH MESTRE (IND),601,557,44049,Aragón,Matarraña/Matarranya
173,Calamocha,316.6,Spain,"PERIBAÑEZ PEIRO, JOAQUÍN",2107,2091,44050,Aragón,Jiloca
174,Calanda,112.2,Spain,JOSE RAMON IBAÑEZ BLASCO,1835,1730,44051,Aragón,Bajo Aragón
175,Calatayud,154.2,Spain,"ARANDA LASSA, JOSE MANUEL",9553,9726,50067,Aragón,Comunidad de Calatayud
176,Calatorao,48.1,Spain,"ISLA SUBIAS, JESUS MARIA",1630,1356,50068,Aragón,Valdejalón
177,Calcena,64.7,Spain,"MIGUEL SAN CLAUDIO, MARIANO",37,34,50069,Aragón,Aranda
178,Caldearenas,192.3,Spain,ALEJANDRO CASTAN GARCES,146,117,22072,Aragón,Alto Gállego
179,Calmarza,28.1,Spain,"MONJE ESCOLANO, JOSE VICENTE",46,42,50070,Aragón,Comunidad de Calatayud
180,Calomarde,28.2,Spain,"HERNANDEZ BARRERA, RODOLFO ANDRES",42,31,44052,Aragón,Sierra de Albarracín
181,Camarena de la Sierra,79.5,Spain,"GIMENO GIL, RAMON",89,77,44054,Aragón,Gúdar-Javalambre
182,Camarillas,50.5,Spain,"SANGÜESA JOSA, DIEGO",59,44,44055,Aragón,Comunidad de Teruel
183,Camañas,78.7,Spain,"GUILLEN BENEDICTO, MIGUEL ANGEL",94,54,44053,Aragón,Comunidad de Teruel
184,Caminreal,44.4,Spain,JOAQUIN ROMERO SANCHEZ,387,374,44056,Aragón,Jiloca
