id,name,area,country,major,men,women,ine,comunidad,comarca
185,Campillo de Aragón,36.9,Spain,"BUENO SANCHEZ, JAVIER",98,79,50071,Aragón,Comunidad de Calatayud
186,Campo,22.9,Spain,"ECHART BALLARIN, JOSE EUSEBIO",142,162,22074,Aragón,La Ribagorza
187,Camporrells,26.7,Spain,"ANTILLACH BERGUA, PASCUAL LUIS",126,115,22075,Aragón,La Litera/La Llitera
188,Canal de Berdún,133.3,Spain,"PÉREZ FRANCO, FRANCISCO JAVIER",222,180,22076,Aragón,La Jacetania
189,Candasnos,122.4,Spain,"ALTABAS QUEROL, ELADIO",254,235,22077,Aragón,Bajo Cinca/Baix Cinca
190,Canfranc,71.6,Spain,"SANCHEZ MORALES, FERNANDO",292,240,22078,Aragón,La Jacetania
191,Cantavieja,124.6,Spain,RICARDO ALTABÁS TENA,385,337,44059,Aragón,Maestrazgo
192,Capdesaso,17.7,Spain,"JAIME LANA, CLEMENTE",75,91,22079,Aragón,Los Monegros
193,Capella,60.7,Spain,"BALDELLOU ESPAÑOL, SERGIO",195,193,22080,Aragón,La Ribagorza
194,Carenas,31.2,Spain,"CASADO RUBIO, MANUEL",114,122,50072,Aragón,Comunidad de Calatayud
195,Cariñena,82.5,Spain,"ORTIZ GUTIERREZ, SERGIO",1847,1564,50073,Aragón,Campo de Cariñena
196,Casbas de Huesca,132.7,Spain,"VIU BESCOS, Mª PILAR",158,137,22081,Aragón,Hoya de Huesca/Plana de Uesca
197,Cascante del Río,32.4,Spain,"JIMENEZ GARCIA, JULIO",65,49,44064,Aragón,Comunidad de Teruel
198,Caspe,503.2,Spain,"HERRERO POBLADOR, PILAR",3757,3830,50074,Aragón,Bajo Aragón-Caspe/Baix Aragó-Casp
199,Castejón de Alarba,17.6,Spain,"PEIRO ROY, FELIX",55,46,50075,Aragón,Comunidad de Calatayud
200,Castejón de Monegros,165.3,Spain,"PUEY CAMPOS, ANA MARIA",360,336,22083,Aragón,Los Monegros
201,Castejón de Sos,31.8,Spain,"ABAD SAURA, JOSE MANUEL",356,323,22084,Aragón,La Ribagorza
202,Castejón de Tornos,30.9,Spain,"CALVO VICENTE, PASCUAL",54,37,44065,Aragón,Jiloca
203,Castejón de Valdejasa,110.1,Spain,"PRADO ARRIETA, JESUS",164,153,50077,Aragón,Cinco Villas
204,Castejón de las Armas,16.2,Spain,"MARTINEZ BASTAROS, ARTURO JUAN",53,52,50076,Aragón,Comunidad de Calatayud
205,Castejón del Puente,25.4,Spain,"COMPS ENCUENTRA, ANTONIO",221,199,22082,Aragón,Somontano de Barbastro
206,Castel de Cabra,29.4,Spain,"RODRIGUEZ PEREZ, FRANCISCO",81,76,44066,Aragón,Cuencas Mineras
207,Castelflorite,34.8,Spain,"LOSCERTALES NOGUES, PEDRO MANUEL",70,63,22085,Aragón,Los Monegros
208,Castellar (El),50.3,Spain,"PEREZ GUILLEN, MODESTO",50,37,44070,Aragón,Gúdar-Javalambre
209,Castellote,233.2,Spain,"MILLAN PIQUER, RAMON",424,381,44071,Aragón,Maestrazgo
210,Castelnou,37.1,Spain,"ESTERUELAS LIZANO, JOSE MIGUEL",57,50,44067,Aragón,Bajo Martín
211,Castelserás,31.5,Spain,ANGELA MONTAÑES SERRANO,443,388,44068,Aragón,Bajo Aragón
212,Castiello de Jaca,17.3,Spain,"SALESA PUENTE, JOSE ALVARO",98,82,22086,Aragón,La Jacetania
213,Castigaleu,26.5,Spain,"CIUTAD ADILLON, HIGINIO",65,49,22087,Aragón,La Ribagorza
214,Castiliscar,40.7,Spain,"BUENO OLORIZ, JOSE IGNACIO",200,184,50078,Aragón,Cinco Villas
215,Castillazuelo,15.3,Spain,"MUZAS ROYO, JOAQUIN",105,118,22088,Aragón,Somontano de Barbastro
216,Castillonroy,37.6,Spain,"FONDEVILLA AGUILAR, ANTONIO",198,214,22089,Aragón,La Litera/La Llitera
217,Cañada Vellida,23.3,Spain,"MORTE MORTE, HERMENEGILDO",36,16,44062,Aragón,Comunidad de Teruel
218,Cañada de Benatanduz,34.9,Spain,"MONSERRATE PLANA, JUAN ANTONIO",36,24,44060,Aragón,Maestrazgo
219,Cañada de Verich (La),10.9,Spain,"INSA VALLÉS, JOSÉ MANUEL",59,47,44061,Aragón,Bajo Aragón
220,Cañizar del Olivar,18.5,Spain,YASMINA CUESTA MIMBRERO,59,58,44063,Aragón,Cuencas Mineras
221,Cedrillas,73.6,Spain,"LOPEZ SAEZ, JOSE LUIS",261,256,44074,Aragón,Comunidad de Teruel
222,Celadas,100.5,Spain,"CLEMENTE MUÑOZ, RAQUEL",230,190,44075,Aragón,Comunidad de Teruel
223,Cella,124.7,Spain,"PEREZ ESTEBAN, Mª JESUS",1457,1348,44076,Aragón,Comunidad de Teruel
224,Cerollera (La),33.7,Spain,"ARRUFAT GASCON, ANTONIO ERNESTO",65,51,44077,Aragón,Bajo Aragón
225,Cervera de la Cañada,29.2,Spain,"ROYO GOMEZ, PASCUAL",166,164,50079,Aragón,Comunidad de Calatayud
226,Cerveruela,23.5,Spain,"ANDRES CEBOLLADA, AURELIO",19,6,50080,Aragón,Campo de Daroca
227,Cetina,79.1,Spain,"VELAZQUEZ HERNANDEZ, JOSE MIGUEL",335,355,50081,Aragón,Comunidad de Calatayud
228,Chalamera,11.5,Spain,"BAYONA BAYONA, JOAQUIN",83,65,22094,Aragón,Bajo Cinca/Baix Cinca
229,Chimillas,10.0,Spain,"RAMIRO CONTRERAS, JUAN MANUEL",128,118,22096,Aragón,Hoya de Huesca/Plana de Uesca
230,Chiprana,39.0,Spain,"NICOLAS GARCIA, FRANCISCO JAVIER",194,189,50092,Aragón,Bajo Aragón-Caspe/Baix Aragó-Casp
231,Chodes,16.0,Spain,"PEREZ POLO, CESAR",55,62,50093,Aragón,Valdejalón
232,Chía,26.1,Spain,"BARRAU PALLARUELO, ENRIQUE",59,50,22095,Aragón,La Ribagorza
233,Cimballa,31.9,Spain,"ROY ENGUITA, CECILIO ELOY",76,80,50082,Aragón,Comunidad de Calatayud
234,Cinco Olivas,2.3,Spain,"SALVADOR ALCAYA, FELISA",60,63,50083,Aragón,Ribera Baja del Ebro
235,Clarés de Ribota,18.7,Spain,"BRUN PORTERO, CESAREO",54,48,50084,Aragón,Comunidad de Calatayud
236,Codo,11.4,Spain,"LAPUERTA BARBA, JESUS ALBERTO",117,117,50085,Aragón,Campo de Belchite
237,Codos,62.7,Spain,"CRESPO GIMENO, MIGUEL",176,107,50086,Aragón,Comunidad de Calatayud
238,Codoñera (La),21.0,Spain,"GASCON CASES, Mª JOSE",178,158,44080,Aragón,Bajo Aragón
239,Colungo,40.6,Spain,"RUBIELLA CORONAS, JORGE",74,65,22090,Aragón,Somontano de Barbastro
240,Contamina,13.7,Spain,"MORENTE ARCOS, JOSE MARIA",33,21,50087,Aragón,Comunidad de Calatayud
241,Corbalán,82.4,Spain,"GONZALEZ CASAS, VICENTE FELIPE",51,41,44082,Aragón,Comunidad de Teruel
242,Cortes de Aragón,24.4,Spain,"ROYO GRACIA, MIGUEL",59,57,44084,Aragón,Cuencas Mineras
243,Cosa,54.8,Spain,"GARZON SANCHEZ, MARCOS",51,45,44085,Aragón,Jiloca
244,Cosuenda,31.7,Spain,"LORENTE SEBASTIAN, OSCAR",208,188,50088,Aragón,Campo de Cariñena
245,Cretas,52.7,Spain,"CAMPS JUAN, FERNANDO JAVIER",317,302,44086,Aragón,Matarraña/Matarranya
246,Crivillén,42.0,Spain,"LECINA ORTIN, Mª JOSEFA",61,55,44087,Aragón,Andorra-Sierra de Arcos
247,Cuarte de Huerva,8.9,Spain,"PEREZ PEREZ, JESUS",1178,1071,50089,Aragón,D.C. Zaragoza
248,Cuba (La),6.5,Spain,"MARIN ANDRES, FELIX",28,27,44088,Aragón,Maestrazgo
249,Cubel,58.6,Spain,"TORNOS BAQUEDANO, ANGEL",100,107,50090,Aragón,Campo de Daroca
250,Cubla,48.6,Spain,ANGELES GÓMEZ NAVARRO,27,18,44089,Aragón,Comunidad de Teruel
251,Cucalón,31.9,Spain,"ROCHE GIMENO, JULIAN",49,37,44090,Aragón,Jiloca
252,Cuerlas (Las),32.6,Spain,"GUILLEN CANTIN, MIGUEL ANGEL",51,49,50091,Aragón,Campo de Daroca
253,Cuervo (El),20.8,Spain,SONIA CASINO NAVARRETE,60,54,44092,Aragón,Comunidad de Teruel
254,Cuevas Labradas,40.8,Spain,JUAN FRANCISCO ARGENTE HERRERO,78,73,44094,Aragón,Comunidad de Teruel
255,Cuevas de Almudén,35.8,Spain,MARIA FRANCISCA MARZO FOL,57,48,44093,Aragón,Cuencas Mineras
256,Daroca,52.0,Spain,MIGUEL GARCIA CORTES,1057,1042,50094,Aragón,Campo de Daroca
257,Ejea de los Caballeros,609.9,Spain,"LAMBAN MONTAÑES, FRANCISCO JAVIER",8507,7742,50095,Aragón,Cinco Villas
258,Ejulve,109.5,Spain,"SALVADOR MINGUILLÓN, JOSÉ MANUEL",114,108,44096,Aragón,Andorra-Sierra de Arcos
259,Embid de Ariza,41.3,Spain,"MARISCAL HORNA, JOAQUIN",61,42,50096,Aragón,Comunidad de Calatayud
260,Encinacorba,36.7,Spain,"CASANOVA GASCA, JESUS MARTIN",161,150,50098,Aragón,Campo de Cariñena
261,Erla,19.0,Spain,"ANGOY TRULLENQUE, JOSE MANUEL",219,226,50100,Aragón,Cinco Villas
262,Escatrón,94.6,Spain,"AGUERRI PUEL, Mª CARMEN",576,613,50101,Aragón,Ribera Baja del Ebro
263,Escorihuela,57.0,Spain,"GIMENEZ MARQUES, MILAGROS AGRIPINA",102,96,44097,Aragón,Comunidad de Teruel
264,Escucha,41.6,Spain,"CARBO CABAÑERO, JAVIER",609,492,44099,Aragón,Cuencas Mineras
265,Esplús,73.0,Spain,"LALANA SUELVES, EDUARDO",357,374,22099,Aragón,La Litera/La Llitera
266,Estada,15.9,Spain,JOSE Mª BAFALUY COLOMINA,98,87,22102,Aragón,Somontano de Barbastro
267,Estadilla,46.8,Spain,"FACERIAS SANCHO, JAIME FRANCISCO",444,442,22103,Aragón,Somontano de Barbastro
268,Estercuel,55.6,Spain,JOSE LAHOZ LAHOZ,164,152,44100,Aragón,Andorra-Sierra de Arcos
269,Estopiñán del Castillo,88.7,Spain,"LARREGOLA FERRER, AGUSTIN JOSE",133,94,22105,Aragón,La Ribagorza
270,Fabara,101.6,Spain,"DOMENECH VILLAGRASA, FRANCISCO JAVIER",642,556,50102,Aragón,Bajo Aragón-Caspe/Baix Aragó-Casp
271,Fago,28.8,Spain,"BARCOS BARCOS, ENRIQUE",21,12,22106,Aragón,La Jacetania
272,Fanlo,187.1,Spain,"PALACIO SESE, HORACIO",110,72,22107,Aragón,Sobrarbe
273,Farlete,104.1,Spain,"AZARA FUSTERO, HECTOR",221,230,50104,Aragón,Los Monegros
274,Fayos (Los),3.9,Spain,"ALONSO COLOMA, JOSE ANGEL",89,90,50106,Aragón,Tarazona y el Moncayo
275,Fayón,67.2,Spain,"ARBONES VICENTE, JOSE",200,181,50105,Aragón,Bajo Aragón-Caspe/Baix Aragó-Casp
276,Ferreruela de Huerva,20.4,Spain,EMERINDA RAMONA JAIME HERNANDEZ,43,35,44101,Aragón,Jiloca
277,Figueruelas,17.0,Spain,"BERTOL MORENO, LUIS",541,542,50107,Aragón,Ribera Alta del Ebro
278,Fiscal,170.1,Spain,"LARROSA ESCARTIN, MANUEL",143,108,22109,Aragón,Sobrarbe
279,Fombuena,26.4,Spain,"MAINAR ULLATE, CARLOS JAIME",12,3,50108,Aragón,Campo de Daroca
280,Fonfría,20.6,Spain,"LAHOZ GARGALLO, JESUS RICARDO",17,12,44102,Aragón,Jiloca
281,Fonz,55.5,Spain,"FERRER PEROSTES, JOSE TEODORO",538,541,22110,Aragón,Cinca Medio
282,Foradada del Toscar,106.4,Spain,"SENZ GABAS, JOAQUIN",108,112,22111,Aragón,La Ribagorza
283,Formiche Alto,78.2,Spain,"ESCRICHE GARGALLO, JOSE LUIS",102,95,44103,Aragón,Gúdar-Javalambre
284,Fortanete,168.2,Spain,"MONSERRATE GIL, JOSÉ LUIS",98,88,44106,Aragón,Maestrazgo
285,Foz-Calanda,37.9,Spain,MARCELINO MALO MARTINEZ,143,120,44107,Aragón,Bajo Aragón
286,Fraga,437.6,Spain,"ESCANDIL SOLANES, SANTIAGO MIGUEL",6667,6201,22112,Aragón,Bajo Cinca/Baix Cinca
287,Frago (El),33.8,Spain,"ROMEO BERGES, FRANCISCO JAVIER",75,49,50109,Aragón,Cinco Villas
288,Frasno (El),48.6,Spain,"PABLO MELUS, AURELIO",285,250,50110,Aragón,Comunidad de Calatayud
289,Fresneda (La),39.5,Spain,"GIMENO AGUILAR, JOSE RAMON",249,202,44108,Aragón,Matarraña/Matarranya
290,Fréscano,18.4,Spain,"CUARTERO TABUENCA, JOSE VALENTIN",111,112,50111,Aragón,Campo de Borja
291,Frías de Albarracín,50.8,Spain,JOSÉ CARLOS NOVELLA LASHERAS,83,73,44109,Aragón,Sierra de Albarracín
292,Fuendejalón,75.8,Spain,"GARCIA AZNAR, LUIS ANTONIO",406,388,50113,Aragón,Campo de Borja
293,Fuendetodos,62.2,Spain,"GIMENO SALUEÑA, JOAQUIN",95,83,50114,Aragón,Campo de Belchite
294,Fuenferrada,24.5,Spain,JOSE ANTONIO DOMINGO FRANCO,24,22,44110,Aragón,Cuencas Mineras
295,Fuentes Calientes,25.0,Spain,"FERRER ARANDIA, JOSÉ LUIS",70,57,44111,Aragón,Comunidad de Teruel
296,Fuentes Claras,36.9,Spain,"SANCHEZ ROMERO, JOAQUIN",291,298,44112,Aragón,Jiloca
297,Fuentes de Ebro,141.7,Spain,"PALACIN MIGUEL, MARIA PILAR",2120,1895,50115,Aragón,D.C. Zaragoza
298,Fuentes de Jiloca,27.4,Spain,"YAGUE CARRASCON, JOSE ANTONIO",164,153,50116,Aragón,Comunidad de Calatayud
299,Fuentes de Rubielos,38.9,Spain,RAMON LUIS HONRUBIA BALLESTER,63,45,44113,Aragón,Gúdar-Javalambre
300,Fuentespalda,39.0,Spain,"AGUD APARICIO, MARÍA DEL CARMEN",176,177,44114,Aragón,Matarraña/Matarranya
301,Fueva (La),218.8,Spain,"LAPLANA BUETAS, JOSE RAMON",316,295,22113,Aragón,Sobrarbe
302,Fórnoles,32.6,Spain,"SERRAT CONCHELLO, ERNESTO",46,55,44105,Aragón,Matarraña/Matarranya
303,Gallocanta,29.7,Spain,"BALLESTIN CANTIN, JUAN JOSE",93,82,50117,Aragón,Campo de Daroca
304,Gallur,41.7,Spain,"LIZ GASPAR, ANTONIO LUCIANO",1522,1438,50118,Aragón,Ribera Alta del Ebro
305,Galve,61.9,Spain,"HERNANDEZ TALABANTE, JOAQUIN",82,65,44115,Aragón,Comunidad de Teruel
306,Gargallo,30.1,Spain,RAMOS MAUREL AGUSTIN,59,58,44116,Aragón,Andorra-Sierra de Arcos
307,Gea de Albarracín,57.5,Spain,MANUEL ALAMÁN ORTIZ,228,215,44117,Aragón,Sierra de Albarracín
308,Gelsa,72.0,Spain,"ALMORIN ROCHE, JOSE MIGUEL",610,600,50119,Aragón,Ribera Baja del Ebro
309,Ginebrosa (La),80.1,Spain,"VILLANOVA ALTABELLA, BLAS ANTONIO",141,105,44118,Aragón,Bajo Aragón
310,Gistaín,75.9,Spain,"BIELSA BARRAU, DAVID",92,73,22114,Aragón,Sobrarbe
311,Godojos,16.8,Spain,"CEBOLLA YAGUE, SANTIAGO",33,33,50120,Aragón,Comunidad de Calatayud
312,Gotor,15.5,Spain,"CALVO AYORA, JOSE ANGEL",210,189,50121,Aragón,Aranda
313,Grado (El),63.8,Spain,"PUYAL MARTINEZ, JAVIER",264,250,22115,Aragón,Somontano de Barbastro
314,Graus,299.8,Spain,"LAGÜENS MARTIN, JOSE ANTONIO",1646,1620,22117,Aragón,La Ribagorza
315,Grañén,124.0,Spain,"SAMPERIZ ENGUITA, CARLOS",1032,977,22116,Aragón,Los Monegros
316,Griegos,31.8,Spain,JOSE LUIS CHAVARRIAS SORANDO,83,49,44119,Aragón,Sierra de Albarracín
317,Grisel,14.5,Spain,"MARTINEZ DURAN, JAVIER",37,26,50122,Aragón,Tarazona y el Moncayo
318,Grisén,4.8,Spain,"MILLAN GARCES, JUAN DE TODOS LOS SANTOS",249,231,50123,Aragón,Ribera Alta del Ebro
319,Guadalaviar,28.1,Spain,BEGOÑA GARCIA BELENCHON,139,133,44120,Aragón,Sierra de Albarracín
320,Gurrea de Gállego,192.0,Spain,None,902,838,22119,Aragón,Hoya de Huesca/Plana de Uesca
321,Gúdar,60.8,Spain,"IZQUIERDO VICENTE, ALBERTO",47,34,44121,Aragón,Gúdar-Javalambre
322,Herrera de los Navarros,105.0,Spain,"VAL RUBIO, ADOLFO",331,290,50124,Aragón,Campo de Daroca
323,Hinojosa de Jarque,36.5,Spain,"PEREZ VALERO, PEDRO ANTONIO",90,76,44123,Aragón,Cuencas Mineras
324,Hoz de Jaca,12.5,Spain,"LOPEZ SANZ, ESPERANZA",32,40,22122,Aragón,Alto Gállego
325,Hoz de la Vieja (La),43.7,Spain,"LAHOZ LAHOZ, ANTONIO",52,57,44124,Aragón,Cuencas Mineras
326,Hoz y Costeán,57.5,Spain,"MILLARUELO MONTANER, JUAN JOSE",125,104,22908,Aragón,Somontano de Barbastro
327,Huerto,86.7,Spain,"BIELA ABADIAS, FRANCISCO",131,115,22124,Aragón,Los Monegros
328,Huesa del Común,61.7,Spain,"SINUES BURILLO, Mª ERMERINDA",80,48,44125,Aragón,Cuencas Mineras
329,Huesca,161.0,Spain,"ALOS LOPEZ, ANA ISABEL",22974,24635,22125,Aragón,Hoya de Huesca/Plana de Uesca
330,Híjar,165.4,Spain,"MARQUESAN FORCEN, LUIS CARLOS",955,928,44122,Aragón,Bajo Martín
331,Ibdes,56.3,Spain,"DUCE MAESTRO, RAMON",280,250,50125,Aragón,Comunidad de Calatayud
332,Ibieca,14.9,Spain,"BROTO ESCARIO, JOSE ANTONIO",61,53,22126,Aragón,Hoya de Huesca/Plana de Uesca
333,Iglesuela del Cid (La),40.3,Spain,MARIA INES TRAVER RODA,266,218,44126,Aragón,Maestrazgo
334,Igriés,19.2,Spain,"ADRADA GUAJARDO, ROQUE",164,160,22127,Aragón,Hoya de Huesca/Plana de Uesca
335,Ilche,63.7,Spain,"TORRES ESTER, JOSE LUIS",141,123,22128,Aragón,Somontano de Barbastro
336,Illueca,24.9,Spain,"HERRERO ASENSIO, IGNACIO",1695,1749,50126,Aragón,Aranda
337,Isuerre,20.1,Spain,"ARTIEDA ZALBA, ANTONIO",37,19,50128,Aragón,Cinco Villas
338,Isábena,118.5,Spain,"NASARRE ALAMAN, JOSE ALFONSO",146,136,22129,Aragón,La Ribagorza
339,Jabaloyas,61.7,Spain,"SANCHEZ SANCHEZ, ANTONIO",37,38,44127,Aragón,Sierra de Albarracín
340,Jaca,406.3,Spain,"BARRIO SENA, VICTOR JOSE",5971,6092,22130,Aragón,La Jacetania
341,Jaraba,42.8,Spain,"PEREZ SICILIA, MANUEL ENRIQUE",171,152,50129,Aragón,Comunidad de Calatayud
342,Jarque,43.0,Spain,"GARCES ZAPATA, MIGUEL ANGEL",298,257,50130,Aragón,Aranda
343,Jarque de la Val,29.2,Spain,"IRANZO BLASCO, SEBASTIAN",54,45,44128,Aragón,Cuencas Mineras
344,Jasa,8.9,Spain,"USIETO ALEGRIA, MARIA CONSUELO",67,48,22131,Aragón,La Jacetania
345,Jatiel,10.8,Spain,"GALVEZ ARTO, JESUS",29,24,44129,Aragón,Bajo Martín
346,Jaulín,46.1,Spain,"ORTILLES LOBERA, JESUS IGNACIO",150,137,50131,Aragón,D.C. Zaragoza
347,Jorcas,26.2,Spain,"IZQUIERDO FECED, ROMAN",26,14,44130,Aragón,Comunidad de Teruel
348,Josa,28.2,Spain,"LOPEZ SANMARTIN, OSCAR",20,13,44131,Aragón,Cuencas Mineras
349,Joyosa (La),6.5,Spain,"GARCIA SANTABARBARA, ILDEFONSO JOSE",263,243,50132,Aragón,Ribera Alta del Ebro
350,Labuerda,17.8,Spain,"CAMPO SANZ, ENRIQUE",92,75,22133,Aragón,Sobrarbe
351,Lagata,23.7,Spain,"LAZARO GOMEZ, FRANCISCO JAVIER ANGEL",79,62,50133,Aragón,Campo de Belchite
352,Lagueruela,26.3,Spain,"HERNANDEZ BORIA, JESÚS",28,30,44132,Aragón,Jiloca
353,Laluenga,36.5,Spain,"JUAREZ GRACIA, MARIA CRISTINA",132,118,22135,Aragón,Somontano de Barbastro
354,Lalueza,88.2,Spain,"PERIZ VIZCARRA, DANIEL",603,549,22136,Aragón,Los Monegros
355,Lanaja,183.7,Spain,"BORRAZ ALCUBIERRE, ARMANDO",775,721,22137,Aragón,Los Monegros
356,Langa del Castillo,50.1,Spain,"VALERO GIL, BASILIO",81,90,50134,Aragón,Campo de Daroca
357,Lanzuela,14.2,Spain,"GOMEZ SANCHEZ, JOSE ANTONIO",23,12,44133,Aragón,Jiloca
358,Laperdiguera,11.3,Spain,"REDOL NADAL, PEDRO JAVIER",49,53,22139,Aragón,Somontano de Barbastro
359,Lascellas-Ponzano,27.3,Spain,"BORRUEL RIBARES, FELIX",80,78,22141,Aragón,Somontano de Barbastro
360,Lascuarre,31.9,Spain,"LLORET SIN, JOSE LUIS",79,70,22142,Aragón,La Ribagorza
361,Laspaúles,81.6,Spain,"ESPOT RUIZ, JUAN IGNACIO",158,126,22143,Aragón,La Ribagorza
362,Laspuña,45.3,Spain,"CASTILLO MUR, AGAPITO ANTONIO",142,130,22144,Aragón,Sobrarbe
363,Layana,3.7,Spain,"GAY CORTES, JESUS",63,62,50135,Aragón,Cinco Villas
364,Lechón,17.5,Spain,"HERRERA BOROBIA, MARIA INES",36,23,50138,Aragón,Campo de Daroca
365,Leciñena,178.6,Spain,"GAVIN GONZALEZ, GONZALO",655,641,50137,Aragón,Los Monegros
366,Letux,30.1,Spain,LUIS MIGUEL ABOS AZNAR,236,220,50139,Aragón,Campo de Belchite
367,Libros,37.9,Spain,"MILLAN NAVARRO, RAFAEL",79,74,44135,Aragón,Comunidad de Teruel
