id,name,area,country,major,men,women,ine,comunidad,comarca
368,Lidón,40.4,Spain,"JUSTE SANZ, JOAQUIN PASCUAL",32,38,44136,Aragón,Comunidad de Teruel
369,Linares de Mora,116.3,Spain,"SEVILLA SALVADOR, YOLANDA",184,139,44137,Aragón,Gúdar-Javalambre
370,Litago,15.3,Spain,"HERRERO MAGALLON, PEDRO JOSE",113,90,50140,Aragón,Tarazona y el Moncayo
371,Lituénigo,11.4,Spain,"NEGREDO HERNANDEZ, ALBERTO",60,62,50141,Aragón,Tarazona y el Moncayo
372,Lledó,15.6,Spain,MARIA JOSE VALLES BRENCHAT,110,90,44141,Aragón,Matarraña/Matarranya
373,Loarre,74.4,Spain,"LIESA LADRERO, MIGUEL",193,181,22149,Aragón,Hoya de Huesca/Plana de Uesca
374,Lobera de Onsella,32.2,Spain,FRANCHO CHABIER MAYAYO ARTIGAS,36,22,50142,Aragón,Cinco Villas
375,Longares,46.0,Spain,"JAIME ANGOS, MIGUEL",583,416,50143,Aragón,Campo de Cariñena
376,Longás,49.2,Spain,"MAYAYO SOLANA, JESUS",29,20,50144,Aragón,Cinco Villas
377,Loporzano,169.3,Spain,"ESCARIO GRACIA, JESUS",273,238,22150,Aragón,Hoya de Huesca/Plana de Uesca
378,Loscorrales,40.2,Spain,"LABORDA MONGIO, JOSE MARIA",64,48,22151,Aragón,Hoya de Huesca/Plana de Uesca
379,Loscos,71.8,Spain,"ELIAS BAILO, PEDRO",104,87,44138,Aragón,Jiloca
380,Lucena de Jalón,10.3,Spain,"JULVE LARRAZ, JOSE MARIA",125,120,50146,Aragón,Valdejalón
381,Luceni,27.1,Spain,"ARELLANO BADIA, ANA Mª",527,526,50147,Aragón,Ribera Alta del Ebro
382,Luesia,126.8,Spain,"LACOSTA ARAGUES, JAIME",218,182,50148,Aragón,Cinco Villas
383,Luesma,29.4,Spain,"MAINAR MAINAR, DAVID",19,21,50149,Aragón,Campo de Daroca
384,Lumpiaque,29.5,Spain,"SEDILES BARBOD, MERCEDES",495,448,50150,Aragón,Valdejalón
385,Luna,308.9,Spain,"PUERTOLAS BERNE, SANTIAGO",461,411,50151,Aragón,Cinco Villas
386,Lupiñén-Ortilla,110.1,Spain,"TIL AIN, JOAQUIN MARIANO",188,160,22905,Aragón,Hoya de Huesca/Plana de Uesca
387,Lécera,109.2,Spain,"CHAVARRÍA POY, JOSÉ",392,394,50136,Aragón,Campo de Belchite
388,Maella,174.9,Spain,"GIL FERRER, JESUS ZENON",1084,980,50152,Aragón,Bajo Aragón-Caspe/Baix Aragó-Casp
389,Magallón,78.6,Spain,"CHUECA RODRIGUEZ, VICTOR MANUEL",635,559,50153,Aragón,Campo de Borja
390,Maicas,24.7,Spain,"AGUILAR PALACIO, Mª PILAR",19,20,44142,Aragón,Cuencas Mineras
391,Mainar,34.0,Spain,"MARZO MARIN, ESMERALDO",85,72,50154,Aragón,Campo de Daroca
392,Malanquilla,36.6,Spain,"SANCHEZ SORIA, ABRAHAM RAUL",68,64,50155,Aragón,Comunidad de Calatayud
393,Maleján,0.1,Spain,"RUIZ LAHUERTA, JUAN JOSE",152,150,50156,Aragón,Campo de Borja
394,Mallén,37.4,Spain,"ASIN MARTINEZ, ANTONIO",1797,1526,50160,Aragón,Campo de Borja
395,Maluenda,40.1,Spain,"HERRERO ABIAN, Mª CARMEN",504,522,50159,Aragón,Comunidad de Calatayud
396,Malón,5.7,Spain,"MAGAÑA SANCHEZ, JOSE IGNACIO",226,206,50157,Aragón,Tarazona y el Moncayo
397,Manchones,26.8,Spain,"PARDILLOS JULIAN, JESUS",79,72,50161,Aragón,Campo de Daroca
398,Manzanera,168.7,Spain,"LAZARO PEREZ, MANUEL RAFAEL",270,219,44143,Aragón,Gúdar-Javalambre
399,Mara,21.1,Spain,"IBARRA DE LA MUELA, ROBERTO",101,107,50162,Aragón,Comunidad de Calatayud
400,Marracos,17.1,Spain,"LOPEZ TORRALBA, EDUARDO",61,58,50902,Aragón,Cinco Villas
401,Martín del Río,54.9,Spain,"ALTABA CABAÑERO, FRANCISCO JAVIER",244,231,44144,Aragón,Cuencas Mineras
402,María de Huerva,108.1,Spain,"VAQUERO PERIANEZ, Mª DEL MAR",878,797,50163,Aragón,D.C. Zaragoza
403,Mas de las Matas,30.0,Spain,"PITARCH CAÑADA, PEDRO",744,708,44145,Aragón,Bajo Aragón
404,Mata de los Olmos (La),23.7,Spain,"GIMENO GASCON, SILVIA INES",134,140,44146,Aragón,Bajo Aragón
405,Mazaleón,86.2,Spain,MARIANO ANTONIO SAN NICOLAS VIVER,305,294,44147,Aragón,Matarraña/Matarranya
406,Mediana de Aragón,90.6,Spain,"CASABONA MONREAL, MIGUEL ANGEL",251,259,50164,Aragón,D.C. Zaragoza
407,Mequinenza,307.2,Spain,"GODIA IBARZ, MAGDALENA",1250,1261,50165,Aragón,Bajo Cinca/Baix Cinca
408,Mesones de Isuela,48.5,Spain,"PRAVIA FERNANDEZ, JOSE",166,178,50166,Aragón,Aranda
409,Mezalocha,60.6,Spain,"ANSÓN ANSÓN, Mª. ASCENSIÓN ANTONIA",157,124,50167,Aragón,Campo de Cariñena
410,Mezquita de Jarque,31.1,Spain,"SANCHO IÑIGUEZ, HERMINIO",69,60,44148,Aragón,Cuencas Mineras
411,Mianos,14.8,Spain,"PEREZ PEREZ, CARLOS",24,20,50168,Aragón,La Jacetania
412,Miedes de Aragón,55.4,Spain,"HERNANDEZ GIMENO, PILAR",266,242,50169,Aragón,Comunidad de Calatayud
413,Mirambel,45.5,Spain,"MONFORTE BARREDA, RICARDO",80,64,44149,Aragón,Maestrazgo
414,Miravete de la Sierra,36.5,Spain,"LISTO SIMÓN, JOSÉ",25,17,44150,Aragón,Maestrazgo
415,Molinos,79.6,Spain,"MONFIL FARNOS, MARIA PILAR",163,143,44151,Aragón,Maestrazgo
416,Monegrillo,183.2,Spain,"LAGUNA MARTINEZ, ALEJANDRO",282,235,50170,Aragón,Los Monegros
417,Monesma y Cajigar,62.6,Spain,"LASHERAS BALLARIN, ANTONIO",53,48,22155,Aragón,La Ribagorza
418,Moneva,61.4,Spain,"MARTIN MARECA, LUIS",70,62,50171,Aragón,Campo de Belchite
419,Monflorite-Lascasas,29.2,Spain,"SALAS PARRA, PEDRO ANTONIO",120,87,22156,Aragón,Hoya de Huesca/Plana de Uesca
420,Monforte de Moyuela,47.7,Spain,JOSÉ GRACIA PLOU,47,26,44152,Aragón,Jiloca
421,Monreal de Ariza,62.1,Spain,"DELGADO POLO, MARÍA PASCUAL",140,125,50172,Aragón,Comunidad de Calatayud
422,Monreal del Campo,89.0,Spain,"CASTELLANO IBAÑEZ, PEDRO",1203,1205,44153,Aragón,Jiloca
423,Monroyo,79.2,Spain,"ARRUFAT MARAVER, OSCAR",179,151,44154,Aragón,Matarraña/Matarranya
424,Montalbán,82.0,Spain,"NAVARRO GASCON, MANUEL JAVIER",784,746,44155,Aragón,Cuencas Mineras
425,Montanuy,174.1,Spain,"AGULLANA PALACIN, JOSE MARIA",165,127,22157,Aragón,La Ribagorza
426,Monteagudo del Castillo,44.4,Spain,"LOZANO CABAÑERO, LUIS IGNACIO",41,26,44156,Aragón,Comunidad de Teruel
427,Monterde,55.9,Spain,"GRACIA RUIZ, JOSE",122,106,50173,Aragón,Comunidad de Calatayud
428,Monterde de Albarracín,45.2,Spain,"ASPAS SANCHEZ, LUIS ANTONIO",28,30,44157,Aragón,Sierra de Albarracín
429,Montón,17.6,Spain,"MUÑOZ ALGAS, IGNACIO",71,60,50174,Aragón,Comunidad de Calatayud
430,Monzón,155.0,Spain,"LANAU MORANCHO, ROSA Mª",7835,7560,22158,Aragón,Cinca Medio
431,Mora de Rubielos,166.2,Spain,FRANCISCO JAVIER BAGUENA BUESO,716,675,44158,Aragón,Gúdar-Javalambre
432,Morata de Jalón,45.9,Spain,"ANDRES OSTARIZ, Mª CRISTINA",696,726,50175,Aragón,Valdejalón
433,Morata de Jiloca,23.1,Spain,"LANGA PARDOS, MIGUEL",173,152,50176,Aragón,Comunidad de Calatayud
434,Moros,53.5,Spain,"MORTE GARCIA, MANUEL",248,247,50178,Aragón,Comunidad de Calatayud
435,Morés,53.5,Spain,"MORTE GARCIA, MANUEL",234,204,50177,Aragón,Comunidad de Calatayud
436,Moscardón,26.9,Spain,"MURCIANO VICENTE, MANUEL",31,23,44159,Aragón,Sierra de Albarracín
437,Mosqueruela,265.0,Spain,"GIL SALVADOR, MARIA ISABEL",403,319,44160,Aragón,Gúdar-Javalambre
438,Moyuela,42.8,Spain,"CRESPO MARTINEZ, JOSE ANTONIO",170,150,50179,Aragón,Campo de Belchite
439,Mozota,8.7,Spain,"ROMEO ROYO, RUMUALDO",59,62,50180,Aragón,D.C. Zaragoza
440,Muel,79.2,Spain,"ALIAGA ALIAGA, RAFAEL",583,552,50181,Aragón,Campo de Cariñena
441,Muela (La),143.5,Spain,MARIA SOLEDAD AURED DE TORRES,1200,1110,50182,Aragón,Valdejalón
442,Muniesa,129.8,Spain,"YUS BLASCO, JOSE",370,334,44161,Aragón,Cuencas Mineras
443,Munébrega,41.0,Spain,"LAJUSTICIA RUBIO, JOSE FELIX",236,202,50183,Aragón,Comunidad de Calatayud
444,Murero,18.2,Spain,"MINGOTE GARCIA, SANTIAGO",78,60,50184,Aragón,Campo de Daroca
445,Murillo de Gállego,54.7,Spain,"DE SANTOS LORIENTE, MARTA",102,75,50185,Aragón,Hoya de Huesca/Plana de Uesca
446,Naval,47.3,Spain,"RODRIGUEZ SOPENA, JAVIER",143,152,22160,Aragón,Somontano de Barbastro
447,Navardún,24.5,Spain,"GABAS MURILLO, CARLOS MARIA",30,24,50186,Aragón,Cinco Villas
448,Nigüella,30.4,Spain,"BRUSIL SANCHEZ, LUIS",59,46,50187,Aragón,Comunidad de Calatayud
449,Noguera de Albarracín,47.4,Spain,MIGUEL ANGEL CUADRADO PONS,85,76,44163,Aragón,Sierra de Albarracín
450,Nogueras,18.8,Spain,"ROYO SORIANO, FRANCISCO",14,5,44164,Aragón,Jiloca
451,Nogueruelas,99.5,Spain,MARCOS BENAGES HERRERO,121,103,44165,Aragón,Gúdar-Javalambre
452,Nombrevilla,17.6,Spain,"LAFUENTE ARNAL, JOSE",31,24,50188,Aragón,Campo de Daroca
453,Nonaspe,111.4,Spain,"LLOP RAFALES, JOAQUIN",539,506,50189,Aragón,Bajo Aragón-Caspe/Baix Aragó-Casp
454,Novales,20.1,Spain,"MONAJ RIVARES, VICENTE",96,86,22162,Aragón,Hoya de Huesca/Plana de Uesca
455,Novallas,11.4,Spain,"FERNANDEZ CORNAGO, HONORIO JESUS",406,409,50190,Aragón,Tarazona y el Moncayo
456,Novillas,25.3,Spain,"AYESA ZORDIA, JOSE",345,324,50191,Aragón,Campo de Borja
457,Nueno,147.2,Spain,"FORTUÑO ESCARTIN, JUAN CARLOS",219,175,22163,Aragón,Hoya de Huesca/Plana de Uesca
458,Nuez de Ebro,8.2,Spain,MARIA DORITA MIGUEL ABUELO,320,299,50193,Aragón,D.C. Zaragoza
459,Nuévalos,41.8,Spain,"PEIRO COBACHO, MANUEL",208,185,50192,Aragón,Comunidad de Calatayud
460,Obón,68.4,Spain,JOSE LUIS MOLINA MARTIN,45,38,44167,Aragón,Cuencas Mineras
461,Odón,74.2,Spain,JESUS TEODORO DOMINGO MERCADAL,129,132,44168,Aragón,Jiloca
462,Ojos Negros,90.9,Spain,ESTHER IBAÑEZ MORENO,282,253,44169,Aragón,Jiloca
463,Olba,21.0,Spain,FEDERICO MANUEL MARTIN FUERTES,110,106,44171,Aragón,Gúdar-Javalambre
464,Oliete,85.5,Spain,"ALFONSO CAROD, RAMIRO",245,231,44172,Aragón,Andorra-Sierra de Arcos
465,Olmos (Los),44.0,Spain,"ESPALLARGAS CARCELER, NURIA",76,68,44173,Aragón,Bajo Aragón
466,Olvena,15.9,Spain,MANUEL MARTINEZ PARDINA,30,38,22164,Aragón,Somontano de Barbastro
467,Olvés,20.2,Spain,"GALLEGO GARCIA, ERNESTO",75,70,50194,Aragón,Comunidad de Calatayud
468,Ontiñena,137.0,Spain,"TORRES MUR, ANGEL",319,318,22165,Aragón,Bajo Cinca/Baix Cinca
469,Orcajo,28.4,Spain,"APARICIO RAMIRO, PEDRO LUIS",22,20,50195,Aragón,Campo de Daroca
470,Orera,19.8,Spain,"GOMEZ GARCIA, JUAN LUIS",67,65,50196,Aragón,Comunidad de Calatayud
471,Orihuela del Tremedal,71.5,Spain,JUAN VICENTE APARICIO RUEDA,317,311,44174,Aragón,Sierra de Albarracín
472,Orrios,44.2,Spain,"MARZO BLASCO, DANIEL",92,90,44175,Aragón,Comunidad de Teruel
473,Orés,54.5,Spain,"CAMPOS IDOIPE, ANTONIO",63,50,50197,Aragón,Cinco Villas
474,Oseja,12.5,Spain,"LORENTE GARCIA, FRANCISCO JAVIER",27,20,50198,Aragón,Aranda
475,Osera de Ebro,24.6,Spain,"PERIZ ENFEDAQUE, JOSE LUIS",189,194,50199,Aragón,D.C. Zaragoza
476,Osso de Cinca,27.7,Spain,"ROMERO SANTOLARIA, ANTONIO",437,329,22167,Aragón,Bajo Cinca/Baix Cinca
477,Palo,14.4,Spain,"ARNAL ESPINOSA, MARIA ANTONIA",29,18,22168,Aragón,Sobrarbe
478,Palomar de Arroyos,33.6,Spain,"JUAREZ PALOMAR, ERNESTINA",136,102,44176,Aragón,Cuencas Mineras
479,Pancrudo,100.1,Spain,"TOLOSA SANCHO, MANUEL",79,66,44177,Aragón,Comunidad de Teruel
480,Paniza,47.3,Spain,"GIMENO GUILLEN, JESUS JAVIER",386,348,50200,Aragón,Campo de Cariñena
481,Panticosa,95.9,Spain,"LAGUNA BELIO, RICARDO",370,361,22170,Aragón,Alto Gállego
482,Paracuellos de Jiloca,32.0,Spain,"GALLEGO DURAN, JOSE IGNACIO",241,256,50201,Aragón,Comunidad de Calatayud
483,Paracuellos de la Ribera,15.0,Spain,"ROY RAGA, ANGEL RAMÓN",120,129,50202,Aragón,Comunidad de Calatayud
484,Parras de Castellote (Las),42.1,Spain,"BOLIVAR FRANCO, JOSÉ",44,38,44178,Aragón,Bajo Aragón
485,Pastriz,16.5,Spain,"EZQUERRA CALVO, JOSE MIGUEL",567,593,50203,Aragón,D.C. Zaragoza
486,Pedrola,113.7,Spain,"EJIDO TORMEZ, FELIPE",1487,1375,50204,Aragón,Ribera Alta del Ebro
487,Pedrosas (Las),18.3,Spain,"TORRALBA NAVAL, JOAQUIN",50,50,50205,Aragón,Cinco Villas
488,Peracense,28.7,Spain,"BUGEDA DOÑATE, MANUEL",61,46,44180,Aragón,Jiloca
489,Peralejos,36.1,Spain,JUAN JOSE PEIRO YAGO,41,41,44181,Aragón,Comunidad de Teruel
490,Perales del Alfambra,104.2,Spain,"POLO ORTIN, JESUS JAIME",150,131,44182,Aragón,Comunidad de Teruel
491,Peralta de Alcofea,116.1,Spain,"GRACIA ALOS, OBDULIA",331,344,22174,Aragón,Somontano de Barbastro
492,Peralta de Calasanz,114.9,Spain,"MELER SANVICENTE, Mª PILAR",156,121,22175,Aragón,La Litera/La Llitera
493,Peraltilla,16.2,Spain,"SIERRA CEBOLLERO, JOSE PEDRO",97,83,22176,Aragón,Somontano de Barbastro
494,Perarrúa,30.1,Spain,"LALUEZA CIUTAD, MANUEL SANTOS",60,64,22177,Aragón,La Ribagorza
495,Perdiguera,109.8,Spain,"USON ALCUBIERRE, JOSE MANUEL",295,274,50206,Aragón,Los Monegros
496,Pertusa,29.4,Spain,"MANCHO ESCARTIN, Mª ROSARIO",75,70,22178,Aragón,Hoya de Huesca/Plana de Uesca
497,Peñalba,156.7,Spain,"LERIN ALLUE, CARLOS JAVIER",383,381,22172,Aragón,Los Monegros
498,Peñarroya de Tastavins,83.3,Spain,"ESTEVE LOMBARTE, FRANCISCO",285,247,44179,Aragón,Matarraña/Matarranya
499,Peñas de Riglos (Las),217.9,Spain,"ASO BAILO, JUAN RAMON",159,113,22173,Aragón,Hoya de Huesca/Plana de Uesca
500,Piedratajada,22.5,Spain,"MALLADA FABANA, JOSÉ ANTONIO",85,88,50207,Aragón,Cinco Villas
501,Pina de Ebro,309.2,Spain,"MARTINEZ TOLEDO, Mª TERESA",1195,1140,50208,Aragón,Ribera Baja del Ebro
502,Pinseque,16.1,Spain,"MELUS MARQUES-JUSTE, JUAN LUIS",1018,1001,50209,Aragón,Ribera Alta del Ebro
503,Pintanos (Los),79.6,Spain,"GARCES BUESA, GUILLERMO",55,47,50210,Aragón,Cinco Villas
504,Piracés,25.2,Spain,"VILLACAMPA FERRANDO, SERGIO.",61,42,22181,Aragón,Hoya de Huesca/Plana de Uesca
505,Pitarque,54.3,Spain,"BUJ SAN MARTIN, DELFÍN",47,57,44183,Aragón,Maestrazgo
506,Plan,92.5,Spain,"FANTOVA AUSED, JOSE MARIA",166,153,22182,Aragón,Sobrarbe
507,Plasencia de Jalón,34.8,Spain,"BENEDI MARTINEZ, GREGORIO",205,165,50211,Aragón,Valdejalón
508,Pleitas,2.1,Spain,"TREMUL MONTEGUI, JOAQUIN ALBERTO",35,27,50212,Aragón,Ribera Alta del Ebro
509,Plenas,37.9,Spain,"YUS GRACIA, BALTASAR",66,67,50213,Aragón,Campo de Belchite
510,Plou,17.2,Spain,"REPOLLES RODRIGO, FERNANDO",22,26,44184,Aragón,Cuencas Mineras
511,Pobo (El),63.6,Spain,"CASAS LIBEROS, ALVARO",79,59,44185,Aragón,Comunidad de Teruel
512,Poleñino,33.0,Spain,"ARTIEDA PUYAL, ESTER",134,133,22184,Aragón,Los Monegros
513,Pomer,33.1,Spain,"MARTINEZ MODREGO, MILLAN",21,14,50214,Aragón,Aranda
514,Portellada (La),21.4,Spain,"BOSQUE BONDIA, COSME RAMON",150,134,44187,Aragón,Matarraña/Matarranya
515,Pozondón,67.6,Spain,"BARQUERO LÓPEZ, JESÚS",48,47,44189,Aragón,Sierra de Albarracín
516,Pozuel de Ariza,22.6,Spain,"MILLAN HERRER, LUIS ANGEL",15,8,50215,Aragón,Comunidad de Calatayud
517,Pozuel del Campo,27.9,Spain,MARIA JOSE MARCO SANCHEZ,59,49,44190,Aragón,Jiloca
518,Pozuelo de Aragón,32.1,Spain,"GRACIA MARTINEZ, JOSE JERONIMO",191,156,50216,Aragón,Campo de Borja
519,Pozán de Vero,14.8,Spain,ROSA ANABEL MARCOS SANCHEZ,118,130,22186,Aragón,Somontano de Barbastro
520,Pradilla de Ebro,25.4,Spain,"MONCIN CUARTERO, LUIS EDUARDO",326,304,50217,Aragón,Ribera Alta del Ebro
521,Puebla de Albortón,76.3,Spain,"ANSON MENDEZ, DIONISIO",80,57,50218,Aragón,Campo de Belchite
522,Puebla de Alfindén (La),17.0,Spain,"LORIS DANCHEZ, NURIA",1312,1255,50219,Aragón,D.C. Zaragoza
523,Puebla de Castro (La),29.4,Spain,"ALTEMIR FANTOVA, FRANCISCO JAVIER",186,165,22187,Aragón,La Ribagorza
524,Puebla de Híjar (La),60.8,Spain,"BELLO MARTINEZ, PEDRO",506,529,44191,Aragón,Bajo Martín
525,Puebla de Valverde (La),282.8,Spain,"FUERTES ALEGRIA, Mª LUISA",278,226,44192,Aragón,Gúdar-Javalambre
526,Puendeluna,9.9,Spain,"MARTINEZ IBOR, JOSE ANTONIO",39,24,50220,Aragón,Cinco Villas
527,Puente de Montañana,48.6,Spain,"BERGUA SALAZAR, JAVIER",52,55,22188,Aragón,La Ribagorza
528,Puente la Reina de Jaca,48.1,Spain,"LOBERA GONZALEZ, RAMON",130,122,22902,Aragón,La Jacetania
529,Puertomingalvo,103.6,Spain,"ZAFON JULIAN, TOMAS MANUEL",93,72,44193,Aragón,Gúdar-Javalambre
530,Pueyo de Araguás (El),62.1,Spain,"BUETAS CORONAS, JESUS ANGEL",85,58,22190,Aragón,Sobrarbe
531,Pueyo de Santa Cruz,9.3,Spain,"NAVARRO FAJARNES, ALBERTO",166,169,22193,Aragón,Cinca Medio
532,Purujosa,35.4,Spain,"SANJUAN CLEMENTE, MARIANO",42,18,50221,Aragón,Aranda
533,Puértolas,100.0,Spain,"REVESTIDO VISPE, RAMIRO ANTONIO",124,99,22189,Aragón,Sobrarbe
534,Quicena,9.7,Spain,"CORTES CASTELLON, ISRAEL",74,72,22195,Aragón,Hoya de Huesca/Plana de Uesca
535,Quinto,118.3,Spain,"BES LAGA, DIGNA",1029,1046,50222,Aragón,Ribera Baja del Ebro
536,Remolinos,18.5,Spain,"ZALDIVAR TRIS, ALFREDO",627,610,50223,Aragón,Ribera Alta del Ebro
537,Retascón,25.2,Spain,"MONGE SALVADOR, ARMANDO",52,43,50224,Aragón,Campo de Daroca
538,Ricla,90.7,Spain,"ROMEO MAÑAS, FRANCISCO BLAS",1573,1177,50225,Aragón,Valdejalón
539,Rillo,53.3,Spain,"MARZO GRACIA, SANTIAGO",72,58,44195,Aragón,Comunidad de Teruel
540,Riodeva,34.3,Spain,"GORRIZ ROMERO, EMILIANO",86,100,44196,Aragón,Comunidad de Teruel
541,Robres,64.3,Spain,"LUNA OTO, ANTONIO",347,310,22197,Aragón,Los Monegros
542,Romanos,19.5,Spain,"HERNANDEZ CASTILLO, CARLOS",81,59,50227,Aragón,Campo de Daroca
543,Royuela,32.5,Spain,JOSÉ LUIS VICENTE NAVARRO,131,98,44198,Aragón,Sierra de Albarracín
544,Rubiales,27.4,Spain,"SORIANO GARZON, JOSE ANTONIO",31,24,44199,Aragón,Sierra de Albarracín
545,Rubielos de Mora,63.7,Spain,"GRACIA LUCIA, ANGEL",329,314,44201,Aragón,Gúdar-Javalambre
546,Rubielos de la Cérida,66.9,Spain,"RAMO CERVERA, JUAN JOSE",28,29,44200,Aragón,Jiloca
547,Rueda de Jalón,107.4,Spain,"LARIO BIELSA, BERNARDO",187,178,50228,Aragón,Valdejalón
548,Ruesca,11.6,Spain,"BUENAFE CALVO, LUIS FERNANDO",44,43,50229,Aragón,Comunidad de Calatayud
549,Ráfales,35.6,Spain,"CAVERO LOPEZ, FERNANDO",96,91,44194,Aragón,Matarraña/Matarranya
